customer_id,acc_number,first_name,last_name,date_of_birth,address,state,city,phone_number,email_address,age,marital_status,number_of_dependents,occupation,employment_status,annual_income,income_sources
24,829507000000,Nitara,Thaman,24-Sep-74,"H.No. 565
Krish Nagar, Panchkula-259629",Kerala,Raebareli,2595285311,ytailor@example.com,49,divorced,4,Seismic interpreter,self-employed,511270,Salary
25,336867000000,Abram,Bobal,06-May-64,"687, Ravel Nagar
Tiruchirappalli-456115",Chhattisgarh,Vadodara,4161698432,swamyinaaya@example.com,60,married,0,Call centre manager,employed,1313038,Business
26,991859000000,Emir,Aurora,13-Oct-97,"299
Sridhar Road
Panvel 422203",Rajasthan,Ambarnath,2933192845,evabhalla@example.org,26,divorced,5,Musician,self-employed,568967,Salary
27,186268000000,Yuvaan,Bora,26-Mar-62,"31
Dhar Street
Kolkata-140128",Punjab,Udupi,1644813470,viyer@example.net,62,married,4,"Psychologist, educational",employed,1556614,Salary
28,357270000000,Armaan,Iyer,15-Nov-83,"05/44
Kibe Zila
Shimla 792818",Sikkim,Hospet,9623770514,idhar@example.com,40,married,0,"Therapist, horticultural",self-employed,670712,Business
29,329191000000,Renee,Setty,06-Jul-81,"H.No. 51
Dhar Path, Orai 425434",Tamil Nadu,Tadipatri,2955870868,kibeindrajit@example.net,43,married,1,"Scientist, research (physical sciences)",employed,542174,Salary
30,666459000000,Inaaya ,Gara,10-Apr-66,"480, Balakrishnan Zila, Hubli–Dharwad 309263",Jharkhand,Sonipat,5203770630,rasha26@example.net,58,divorced,4,"Nurse, learning disability",unemployed,1088890,Business
31,160552000000,Trisha,Mall,05-Jun-99,"H.No. 116, Sodhi Ganj
Aurangabad-243574",Meghalaya,Panihati,9351884055,charvizacharia@example.org,25,divorced,0,"Doctor, general practice",unemployed,827257,Business
32,341031000000,Yuvraj ,Vig,16-Jul-81,"80
Kothari Marg, Allahabad 769168",Andhra Pradesh,Bhiwani,9536867995,mchakrabarti@example.org,43,married,5,"Journalist, magazine",employed,1796124,Salary
33,845859000000,Anay,Tella,27-Jul-56,"H.No. 34
Varkey Marg, Khora -141825",Rajasthan,Bhiwani,3856579391,sahilbiswas@example.org,68,married,2,"Librarian, public",employed,525942,Business
34,766620000000,Vritika,Chhabra,08-Sep-00,"H.No. 33, Shroff Ganj
Bharatpur 371437",Jharkhand,Kochi,7224602387,neysadesai@example.org,23,married,0,Outdoor activities/education manager,unemployed,1303738,Business
35,287162000000,Keya,Ganguly,23-Dec-82,"H.No. 908, Buch Nagar
Pondicherry-614685",Meghalaya,Agartala,2206012205,madhavkamdar@example.com,41,single,1,"Designer, jewellery",employed,690752,Business
36,746011000000,Kanav,Agrawal,18-Dec-60,"09/338
Baral Circle, Hospet 455499",Chhattisgarh,Sasaram,3464182622,aayush27@example.net,63,single,2,Human resources officer,unemployed,332214,Business
37,478024000000,Vidur,Setty,01-Jul-91,"514, Walla Path
Ulhasnagar 316734",Nagaland,Jamshedpur,4633536040,aainajain@example.org,33,divorced,1,Dealer,employed,1893378,Business
38,388576000000,Mishti,Varma,13-Jul-79,"H.No. 13, Dhingra Ganj, Muzaffarpur 519298",Kerala,Ulhasnagar,4728888814,diya89@example.net,45,married,2,Police officer,unemployed,1773378,Business
39,550842000000,Nirvi,Varty,23-Mar-77,"H.No. 74, Sama Path
Karnal 095926",Telangana,Mira-Bhayandar,9683035416,faiyaz25@example.org,47,married,3,"Surveyor, planning and development",employed,805800,Business
40,862922000000,Ranbir,Kashyap,02-Aug-76,"84/63
Datta Path, Dhanbad 041496",Madhya Pradesh,North Dumdum,6270335802,bavaryan@example.com,48,married,0,Haematologist,unemployed,1638127,Salary
41,502425000000,Aaryahi,Dass,11-Dec-56,"H.No. 584, Dasgupta Circle, Pudukkottai-776883",Goa,Mangalore,3480759227,priyanshkrishnamurthy@example.net,67,divorced,4,Land,self-employed,1380491,Business
42,219228000000,Chirag,Sachdev,21-May-68,"H.No. 26
Divan Zila
Moradabad 918592",Goa,Chinsurah,8564502549,indransthaker@example.net,56,married,1,Financial adviser,employed,1813692,Salary
43,898314000000,Keya,Biswas,09-Oct-72,"96
Bhalla Chowk, Pudukkottai-191499",Manipur,Davanagere,8819097013,tejasvig@example.org,51,divorced,2,International aid/development worker,self-employed,1530594,Business
44,455748000000,Miraan,Bhattacharyya,04-Sep-60,"02/127, Kala Nagar
Guna-008504",Uttarakhand,Jaunpur,6265234862,anahibhatt@example.org,63,single,1,Community arts worker,unemployed,444317,Business
45,692891000000,Tara,Raval,23-Sep-59,"H.No. 879
Deo Zila, Lucknow-802311",Telangana,Srikakulam,1373916806,karaaaina@example.org,64,married,0,"Nurse, children's",employed,1105348,Business
46,643897000000,Hansh,Gaba,02-Aug-75,"36/523
Ratta, Vasai-Virar-896042",Manipur,Jodhpur,3803537320,samaira23@example.net,49,divorced,3,Social worker,self-employed,1706410,Salary
47,462709000000,Emir,Subramaniam,01-Apr-55,"23/349
Bala Zila, Karimnagar 401374",Punjab,Mahbubnagar,5811938140,ishaan41@example.com,69,divorced,3,Archivist,self-employed,1723573,Salary
48,808424000000,Aarav,Master,22-Jul-70,"H.No. 41
Srinivas Road, Kanpur-231303",Odisha,Fatehpur,6508097587,sahotamisha@example.org,54,married,3,Politician's assistant,employed,742986,Salary
49,735297000000,Kabir,Amble,27-Feb-78,"291, Barad, Warangal 245061",Nagaland,Amroha,5511080756,yhayer@example.org,46,married,3,"Editor, film/video",employed,695701,Salary
50,918692000000,Madhup,Walia,22-May-63,"H.No. 39, Garde Chowk, Silchar 617509",Arunachal Pradesh,Katni,2171823441,ubali@example.net,61,single,2,Horticultural consultant,employed,1259030,Business
51,848926000000,Ivan,Bir,26-Feb-75,"14/823
Rastogi Circle, Nagaon 018450",Arunachal Pradesh,Nanded,9239862159,ishaanbatra@example.org,49,single,2,Tree surgeon,self-employed,1573458,Salary
52,421294000000,Aradhya,Brahmbhatt,20-Sep-78,"H.No. 90, Sachar Nagar, Buxar 616323",West Bengal,Durgapur,5524478001,lavanyasathe@example.org,45,single,1,"Investment banker, operational",employed,1618207,Business
53,325643000000,Alisha,Loyal,31-May-97,"H.No. 03, Dewan Marg
Kishanganj 079612",Telangana,Bhimavaram,8988261872,amiraandra@example.org,27,single,1,"Designer, multimedia",self-employed,1925102,Business
54,364433000000,Ryan,Borah,15-Oct-85,"02/73
Toor Nagar
Berhampore-830315",Uttarakhand,Anantapur,9234033119,ayeshamall@example.com,38,married,5,"Surveyor, insurance",unemployed,760735,Salary
55,323634000000,Shanaya,Bail,12-Feb-04,"195, Devi Chowk, Bhiwandi 055667",Goa,Aligarh,1686472305,stuvan81@example.com,20,married,3,"Lecturer, further education",unemployed,342107,Business
56,835823000000,Hazel,Chowdhury,13-Jan-61,"H.No. 29, Bhalla Ganj
Dhanbad-197918",Rajasthan,Kota,3867723850,dgara@example.org,63,married,4,"Engineer, energy",unemployed,1835231,Business
57,574490000000,Samaira,Dasgupta,02-Aug-57,"006
Gill Chowk, Solapur 772202",Uttarakhand,Mahbubnagar,4209061685,tankkavya@example.org,67,divorced,4,Product manager,unemployed,1511924,Salary
58,740809000000,Kaira,Shukla,09-Apr-66,"H.No. 43, Dewan Ganj, Guwahati-792404",Jharkhand,Bardhaman,6849963962,hunar69@example.org,58,married,4,Oceanographer,employed,1664472,Salary
59,131766000000,Yasmin,Kala,14-Apr-99,"59, Malhotra Zila
Kumbakonam 341108",Tamil Nadu,Bangalore,7447110381,kiaan67@example.org,25,married,5,Control and instrumentation engineer,employed,588587,Business
60,795721000000,Lakshit,Sawhney,24-Apr-87,"51/74
Bajaj Ganj
Barasat 338346",Tamil Nadu,Bidhannagar,2283596152,rohan88@example.com,37,divorced,1,Public relations account executive,self-employed,429219,Business
61,104420000000,Rohan,Ram,07-Dec-78,"176, Sundaram Marg, Kota 667579",Uttarakhand,Delhi,5306470377,fatehchaudhary@example.org,45,married,2,Copy,unemployed,524313,Business
62,891439000000,Armaan,Dhingra,23-Jan-99,"34, Wason Street, Parbhani-543030",Bihar,Uluberia,8393018825,vivaan97@example.com,25,married,4,Geographical information systems officer,self-employed,1906492,Business
63,819685000000,Manjari,Toor,20-Oct-81,"23/94
Saini Road, Thoothukudi-045786",Himachal Pradesh,Gopalpur,2999076369,zrau@example.com,42,married,0,Financial trader,self-employed,1845448,Salary
64,749260000000,Romil,Banerjee,16-Feb-00,"549
Anand
Ramgarh-096444",Sikkim,Coimbatore,4191377057,raveldrishya@example.org,24,single,4,Physiological scientist,employed,942847,Business
65,241424000000,Sumer,Raj,24-Sep-66,"H.No. 345, Jayaraman Zila, Nadiad 892806",Nagaland,Orai,6457293174,igandhi@example.com,57,single,4,IT technical support officer,unemployed,616300,Salary
66,187107000000,Bhavin,Chaudry,25-Apr-57,"55/771, Bhatnagar Marg, Gudivada 742170",Uttarakhand,Bettiah,6323282232,ahana-44@example.net,67,married,4,Film/video editor,employed,917136,Salary
67,985978000000,Nehmat,Deep,04-Mar-99,"H.No. 412, Sathe, Bulandshahr-200196",Telangana,Nellore,2101925687,arnav60@example.org,25,divorced,4,Colour technologist,self-employed,1962692,Business
68,451016000000,Adira,Barad,02-Oct-98,"H.No. 614, Vasa Road, Darbhanga 280121",Jharkhand,Hubli–Dharwad,8856858186,dasgatik@example.net,25,single,5,Environmental consultant,self-employed,847427,Business
69,168205000000,Akarsh,Chacko,03-Apr-77,"04/01
Gole Ganj
Aligarh-333555",Uttar Pradesh,Bhagalpur,7223488980,samairabawa@example.org,47,divorced,3,Medical laboratory scientific officer,employed,1018271,Business
70,397693000000,Nishith,Sachdev,01-Sep-51,"H.No. 22, Kala Path, Tumkur-718138",Mizoram,Tinsukia,4215628838,urvi62@example.net,72,married,5,Graphic designer,self-employed,815943,Salary
71,108874000000,Tiya,Vig,04-Mar-88,"12/791
Varghese Chowk
Jaunpur 947742",Arunachal Pradesh,Chittoor,1726919924,shlokthakur@example.org,36,single,1,Art gallery manager,self-employed,1494528,Salary
72,270752000000,Samarth,Rajagopal,18-Jun-56,"001, Wason Road
Jaipur 293005",Gujarat,Thanjavur,5448781706,emir50@example.com,68,married,3,Midwife,employed,1189292,Salary
73,661316000000,Dhanuk,Devi,16-Jul-02,"H.No. 560, Mall Path
Tiruchirappalli 116186",Maharashtra,Buxar,1832554904,tgoswami@example.net,22,single,3,Osteopath,self-employed,718482,Business
74,139191000000,Romil,Suresh,18-Apr-64,"354, Konda Road
Bhiwandi-719964",Uttar Pradesh,Panvel,5673625645,achaudhry@example.org,60,divorced,5,"Buyer, industrial",self-employed,308240,Salary
75,402732000000,Reyansh,Dewan,10-Nov-97,"11/56, Hora Street, Aizawl 409516",Maharashtra,Gangtok,5399861957,aniruddh25@example.net,26,married,5,Cytogeneticist,unemployed,1828250,Salary
76,348113000000,Zain,Venkataraman,29-Nov-98,"16, Tara Road, Mau-504522",Telangana,Mangalore,1948530216,doctorkeya@example.net,25,single,0,Arts development officer,employed,1390255,Salary
77,273532000000,Riya,Bhagat,30-Jan-51,"H.No. 14, Karpe
Lucknow 154823",Karnataka,Udupi,1462532773,khuranasamiha@example.com,73,single,0,Veterinary surgeon,self-employed,1490677,Salary
78,239255000000,Jayant,Sem,01-Jul-75,"H.No. 427
Seth Marg, Sonipat 583218",Chhattisgarh,Bhavnagar,1175974881,achowdhury@example.com,49,married,0,"Secretary, company",self-employed,437890,Salary
79,454131000000,Saksham,Chana,18-Jul-50,"97/39
Wadhwa Marg
Patna-394987",Goa,Surendranagar Dudhrej,4515835638,walivedika@example.org,74,single,4,Volunteer coordinator,employed,835297,Salary
80,978174000000,Ela,Bhagat,27-Mar-74,"83/91
Sarna Street, Bhalswa Jahangir Pur-980656",Madhya Pradesh,Kolhapur,8346563346,kashvi04@example.com,50,married,4,Rural practice surveyor,self-employed,506028,Salary
81,589182000000,Inaaya ,Lata,16-Jul-73,"H.No. 11
Dewan Zila
Panchkula-055356",Jharkhand,Ajmer,8843058849,karaadvika@example.net,51,married,2,"Engineer, materials",employed,1655441,Business
82,911004000000,Lakshay,Datta,14-Sep-55,"07/750, Bali Nagar, Dhanbad 434146",Tripura,Jamshedpur,3898699065,apteparinaaz@example.net,68,married,4,Advertising copywriter,unemployed,370863,Salary
83,589847000000,Saira,Kala,31-Mar-66,"H.No. 30
Bail Zila, Pune 457388",Nagaland,Chapra,9885150133,chahalabram@example.com,58,single,4,"Teacher, adult education",unemployed,566433,Business
84,219036000000,Akarsh,Contractor,06-Dec-73,"98/044, Dhillon Path, Miryalaguda-206353",Chhattisgarh,Panipat,4969647244,kapurtejas@example.net,50,married,1,"Administrator, charities/voluntary organisations",employed,1007910,Salary
85,604901000000,Ela,Shroff,22-Feb-76,"43/058
Baral Path
Indore 244904",Tamil Nadu,Kalyan-Dombivli,9474618556,sairabuch@example.com,48,married,0,Commercial art gallery manager,self-employed,1773621,Salary
86,425095000000,Vritika,Tandon,12-Aug-88,"74/81, Iyengar Ganj
Kirari Suleman Nagar 876015",Punjab,Muzaffarnagar,6285724474,neelofarmaharaj@example.org,36,divorced,5,Passenger transport manager,self-employed,507963,Business
87,125928000000,Samiha,Karpe,04-Aug-72,"12/740, Hans, Varanasi 410955",Arunachal Pradesh,Farrukhabad,4579200817,nbath@example.com,52,married,5,Social worker,unemployed,483208,Business
88,338383000000,Aaryahi,Borra,23-Nov-94,"90/437, Kapoor Circle, Haldia-641401",Kerala,Jalandhar,1308660446,cgaba@example.com,29,married,4,Energy manager,unemployed,1647879,Business
89,962151000000,Lakshit,Rao,02-Jun-54,"79/69
Maharaj, Nagercoil 670002",Madhya Pradesh,Jhansi,9864929101,halderbiju@example.com,70,divorced,3,"Surveyor, land/geomatics",unemployed,1853404,Business
90,666430000000,Nitya,Singh,14-Apr-92,"H.No. 03, Dave Chowk
Gandhidham 445543",Tripura,Guntur,7679117457,ishita96@example.org,32,single,2,Product/process development scientist,employed,1839180,Business
91,273870000000,Ishaan,Jani,04-Sep-88,"27/72
Dhingra Road
Gandhinagar-912792",Telangana,Chapra,7986093623,zmani@example.net,35,single,3,Writer,self-employed,1131122,Business
92,549561000000,Vritika,Upadhyay,29-Mar-53,"03
Sanghvi Chowk
Akola-841871",Goa,Munger,2517227134,anikakunda@example.org,71,single,4,Quarry manager,self-employed,1909269,Business
93,448799000000,Divit,Sekhon,17-Jan-96,"15/87, Chandran Chowk
Bihar Sharif-690437",Punjab,Purnia,7246426028,bmann@example.net,28,married,3,Leisure centre manager,employed,1544264,Business
94,949591000000,Vaibhav,Som,25-Oct-64,"H.No. 40
Dugar Marg, Jaunpur 030116",Tamil Nadu,Thrissur,6168338613,psachdeva@example.com,59,divorced,4,"Journalist, broadcasting",unemployed,1882706,Salary
95,530038000000,Divyansh,Ramanathan,06-Dec-73,"05/23
Thaker Ganj
Madanapalle-939002",Madhya Pradesh,Delhi,9739401006,jkumar@example.com,50,divorced,1,Meteorologist,unemployed,308739,Business
96,149525000000,Mannat,Kulkarni,10-Sep-69,"08/94
Deo Path, Akola-513954",Kerala,Srinagar,7994982384,anika22@example.org,54,single,1,"Engineer, structural",self-employed,507225,Business
97,115421000000,Uthkarsh,Varty,14-Sep-99,"H.No. 579, Bhatia, Kishanganj 030956",Rajasthan,Alappuzha,6739364223,eshanighose@example.net,24,single,1,Further education lecturer,employed,417389,Business
98,962827000000,Ivana,Dada,07-Oct-91,"H.No. 75
Iyer Marg
Kirari Suleman Nagar 367523",Kerala,Dibrugarh,5999972404,vidur51@example.net,32,married,4,Call centre manager,self-employed,1703257,Business
99,352886000000,Anahita,Kaur,09-May-94,"69, Sankaran Nagar, Orai-247551",Kerala,Shivpuri,8345715084,reyansh50@example.org,30,single,5,Television camera operator,unemployed,409651,Salary
100,376588000000,Shamik,D’Alia,07-Jun-51,"97/357
Thakur Marg, Asansol-812462",Odisha,Vijayanagaram,6365023628,anaydani@example.net,73,single,5,Speech and language therapist,employed,1334643,Salary
101,604132000000,Amani,Suresh,07-Sep-88,"49/612, Raju Path, Guna 674849",Rajasthan,Bhilai,1707353368,mangalanay@example.org,35,single,0,Freight forwarder,self-employed,851950,Business
102,683625000000,Piya,Mane,06-Sep-01,"H.No. 660
Kala Marg, Pudukkottai-874067",Punjab,Adoni,9755710589,balakrishnanalia@example.net,22,single,4,Furniture designer,employed,1375898,Business
103,239705000000,Ishaan,Sekhon,07-Jan-71,"39/284, Choudhry Marg
Kanpur 431248",Tamil Nadu,Aizawl,6731536805,vbaral@example.com,53,married,2,"Sales professional, IT",self-employed,480627,Business
104,115666000000,Ahana ,Barad,02-Oct-70,"052
Jhaveri Zila, Panipat-745650",Gujarat,Coimbatore,6961595477,srinivasanfarhan@example.org,53,divorced,4,Leisure centre manager,employed,1091757,Business
105,338387000000,Yasmin,Wable,28-Oct-51,"29/993
Yogi Ganj
Sambhal 902859",Assam,Ichalkaranji,7523982458,tkapoor@example.net,72,divorced,2,Information officer,self-employed,977469,Salary
106,223152000000,Umang,Divan,11-Apr-97,"059
Rege Nagar
Barasat-342401",West Bengal,Jalna,5843020171,kandaaradhya@example.net,27,married,0,"Journalist, broadcasting",employed,677450,Business
107,985719000000,Parinaaz,Cherian,01-Feb-64,"14
Sridhar Chowk, Haridwar 562722",Tripura,Shimoga,8279217923,boaseyasmin@example.net,60,divorced,3,Purchasing manager,employed,622932,Salary
108,895544000000,Vihaan,Amble,22-Jun-54,"H.No. 541
Contractor Zila, Aurangabad-270705",Goa,Madurai,1505256101,stuvanvarghese@example.org,70,married,3,Film/video editor,self-employed,669398,Business
109,768692000000,Shaan,Bera,10-Aug-86,"788
Karan Street, Bangalore 250869",Uttarakhand,Nashik,1616835110,kavyaranganathan@example.org,38,divorced,5,Medical illustrator,unemployed,1990232,Business
110,772743000000,Madhup,Dass,23-Feb-58,"H.No. 44, Sem Ganj
Sonipat 884559",Nagaland,Pimpri-Chinchwad,2571000183,hridaan67@example.org,66,single,1,"Education officer, community",self-employed,1305602,Business
111,819261000000,Ritvik,Lad,14-Dec-59,"730
Raj Street
Kurnool 729831",Jharkhand,Ambattur,3673068400,eshanichakrabarti@example.org,64,married,2,Video editor,unemployed,1905048,Salary
112,973497000000,Umang,Bora,16-Feb-58,"911
Krish
Buxar-054080",West Bengal,Bardhaman,7713073619,sinhaemir@example.net,66,married,4,Magazine journalist,unemployed,1774288,Business
113,916517000000,Hazel,Sheth,15-Aug-54,"126, Singh Nagar
Sultan Pur Majra 085139",Haryana,Dhule,1856760336,ehsaan09@example.net,70,married,2,Nutritional therapist,self-employed,1582867,Salary
114,686975000000,Samarth,Taneja,07-Jul-61,"H.No. 472
Jain Path, Munger 701502",Tripura,Bhagalpur,8698593371,fbora@example.org,63,married,5,Advice worker,employed,1031395,Business
115,130572000000,Darshit,Deo,24-Nov-62,"H.No. 06
Srinivas
Bidar-040501",Arunachal Pradesh,Surendranagar Dudhrej,9395761189,hunarkalla@example.com,61,divorced,5,Child psychotherapist,self-employed,1315161,Business
116,643054000000,Priyansh,Kalla,27-Dec-98,"59/053
Deep Path, Akola-305710",Tamil Nadu,Amaravati,2125620928,bandigokul@example.net,25,single,2,"Research officer, government",self-employed,788205,Salary
117,483701000000,Charvi,Rajagopal,23-Aug-95,"62/445
Sabharwal Zila, Jalna 018129",Himachal Pradesh,Rourkela,9382362920,jayesh22@example.org,28,married,0,Geoscientist,self-employed,830044,Business
118,882446000000,Faiyaz,Mahajan,14-Dec-61,"19, Lanka Street, Jalna 272803",Andhra Pradesh,Machilipatnam,3499035872,dharmajan27@example.net,62,divorced,1,Careers information officer,self-employed,1505355,Salary
119,324183000000,Riya,Mannan,13-Jun-94,"H.No. 33, Chopra Circle
Raebareli 795265",Punjab,Guntur,9484570347,lbabu@example.com,30,single,3,"Nurse, adult",employed,1264262,Business
120,976439000000,Ryan,Jani,14-Jan-93,"H.No. 868, Saraf Road
Karimnagar 870784",Uttar Pradesh,Mathura,3621644730,aliamahajan@example.com,31,married,4,Politician's assistant,unemployed,1485974,Salary
121,786692000000,Lavanya,Agrawal,28-Sep-94,"09/541
Badal Chowk
Pimpri-Chinchwad 232131",Assam,Mangalore,5390639752,aroradamini@example.org,29,married,1,"Engineer, water",unemployed,990659,Salary
122,363065000000,Alia,Tripathi,21-Aug-58,"139
Saran Nagar, Secunderabad-501477",Maharashtra,Narasaraopet,7318397084,yashvi84@example.org,65,married,3,Ranger/warden,self-employed,1383688,Salary
123,128299000000,Lakshit,Bajwa,21-Aug-64,"H.No. 188
Kanda Marg
Dhanbad 640147",Madhya Pradesh,Tadepalligudem,4839582328,qkar@example.org,59,married,5,Structural engineer,unemployed,1652529,Business
124,389824000000,Neysa,Rama,18-Jul-66,"H.No. 042
Bobal Road, Dhanbad 673869",Manipur,Bhubaneswar,6386681501,obrar@example.net,58,married,1,Investment analyst,unemployed,1029749,Business
125,543031000000,Divij,Rau,08-Jun-76,"28
Uppal Street, Aizawl-061276",Mizoram,Rampur,6849652085,auroraadvik@example.org,48,single,2,IT consultant,unemployed,1668940,Business
126,428318000000,Nitya,Venkataraman,17-Dec-98,"H.No. 862, Khurana Nagar
Mangalore-013662",Bihar,Amaravati,1488972634,virkpiya@example.org,25,divorced,5,Barrister's clerk,unemployed,810495,Salary
127,214324000000,Trisha,Subramaniam,01-Aug-64,"05/58, Gala, Tirupati-887092",Telangana,Shahjahanpur,9179556445,mahikakant@example.net,60,married,1,"Secretary, company",employed,1508389,Salary
128,400049000000,Neelofar,Jhaveri,07-Aug-58,"H.No. 002, Cheema Road
Uluberia-259467",Manipur,Suryapet,1706128630,dashlavanya@example.net,66,married,0,Medical laboratory scientific officer,unemployed,611335,Salary
129,749429000000,Eva,Bal,31-Jul-95,"46, Choudhury Chowk
Avadi-908523",Telangana,Aligarh,7804373317,rsodhi@example.net,29,married,4,Planning and development surveyor,self-employed,715360,Business
130,426497000000,Ranbir,Dhawan,13-Jan-90,"37
Sani Road, Surat 951166",Maharashtra,Kolkata,1591809264,prerak92@example.net,34,single,3,Data processing manager,employed,921324,Salary
131,306023000000,Ranbir,Baria,03-Apr-58,"H.No. 44, Sandal Nagar
Bhilwara 078586",Himachal Pradesh,Phusro,7481841069,aradhya85@example.net,66,divorced,1,Secretary/administrator,employed,1533073,Business
132,253013000000,Nirvi,Solanki,16-Jun-91,"74, Badami Nagar
Kozhikode-970669",Tripura,Jamalpur,8496434856,aroradharmajan@example.org,33,single,2,Materials engineer,unemployed,1468015,Business
133,319103000000,Hridaan,De,17-Jan-52,"35, Chowdhury Street, Nanded-295084",Kerala,Vijayawada,9679809241,fbhavsar@example.org,72,divorced,4,Acupuncturist,employed,1134908,Business
134,142820000000,Dishani,Shere,16-Dec-60,"358, Dhingra Path, Nizamabad-333384",Assam,Baranagar,7876048069,ivanshetty@example.com,63,single,1,Dancer,self-employed,870358,Salary
