Customer_ID,Name,Surname,Mobile_No,Email_ID,Age,Marital_Status,Employment_Status,Annual_Income,Total_credit_Accounts,Account_Age_Years,Loan_Amount,On_Time_Payments,Late_Payments,Missed_Payments,Total_Hard_Enquiries,Total_credit_limit,Total_credit_balance,Total_Debt
43,Jack,Hickman,4590160710,john12@example.net,64,divorced,self-employed,165159,9,25,13003,16,19,17,8,58110,24990,109082
44,Teresa,Jones,6032745223,murrayrobert@example.net,47,single,self-employed,87645,2,12,42248,90,42,14,10,182671,78098,113681
45,Susan,Smith,4299796787,tsilva@example.org,56,divorced,employed,160540,10,20,393706,24,37,11,15,208470,39484,15791
46,Darlene,Beard,4438200872,jillrobertson@example.org,67,divorced,employed,160414,1,10,159798,17,9,10,13,181947,99843,26762
47,Christine,Barrera,5573878476,james38@example.net,68,single,unemployed,195329,2,21,424791,17,42,19,6,42310,39288,145869
48,Jenna,Cummings,2544680420,michaelnorton@example.com,43,divorced,unemployed,199538,5,20,209174,48,15,0,11,26390,22807,69872
49,Patty,Powell,747720379,jonesashley@example.net,28,single,employed,67405,5,14,105931,4,31,3,11,257138,42636,45878
50,Charles,Adams,5811348077,katherine08@example.net,62,married,unemployed,127536,6,10,66355,59,13,15,11,468695,16776,123359
51,Henry,Anderson,9317059134,dianabrown@example.com,56,divorced,employed,180864,2,8,282825,2,44,10,11,51849,48282,150057
52,Scott,Carson,4824508514,onguyen@example.com,25,single,employed,161556,3,29,103901,99,30,14,18,22957,21465,34619
53,Joseph,Manning,8450805620,garciashelly@example.net,19,divorced,unemployed,123382,2,13,54698,10,16,18,5,489950,88965,91030
54,Carmen,Martinez,662090144,daviscaitlin@example.net,55,single,employed,57776,6,26,168056,64,1,1,10,217638,37181,91619
55,William,Perry,7215789612,laura06@example.com,29,single,unemployed,155655,10,13,196274,41,33,16,8,118931,40017,139575
56,Joshua,Taylor,1001447570,virginia56@example.com,58,married,self-employed,197375,5,6,359104,18,4,5,12,189606,16326,189423
57,Melanie,Todd,2937041829,jacksonelizabeth@example.net,26,single,employed,106594,9,25,387232,51,45,8,10,150811,58190,170005
58,Shelly,Hayden,4670296998,yolandaalvarado@example.org,39,single,self-employed,80088,5,14,462399,47,20,0,16,440746,81399,23148
59,Adam,Douglas,3161014857,abrown@example.com,33,divorced,unemployed,95350,3,27,372231,10,33,10,20,339588,27157,86383
60,Shirley,Moreno,54353047,asalinas@example.com,34,single,unemployed,184097,6,1,131933,94,21,15,14,252551,184051,95514
61,Charles,Parker,2212282055,llee@example.net,31,single,employed,91280,2,11,283593,82,17,15,11,341947,315863,163014
62,Lisa,Rodriguez,3541396491,darlene00@example.net,32,married,employed,110081,9,27,420122,45,10,2,10,20700,11381,107837
63,Anthony,Rodriguez,9155187197,michaelstewart@example.com,56,married,self-employed,46405,6,11,10223,40,12,16,15,362712,237776,10132
64,Jenna,Sanchez,1925177564,vanessaallen@example.com,69,married,self-employed,53880,10,29,141532,14,44,14,12,282028,116253,39989
65,Jamie,Reynolds,531264605,rosebrandon@example.com,24,single,self-employed,81403,9,15,44701,22,29,2,19,117495,44229,90077
66,Brandon,Delgado,3016210591,anthony53@example.com,45,single,employed,26232,3,0,422563,31,35,5,3,478519,269261,101686
67,Eric,Wright,5763754374,lisaguerrero@example.net,56,divorced,employed,131469,3,1,449151,45,46,20,1,80197,23800,94377
68,Tricia,Jackson,5182771146,nelsonkathleen@example.net,49,single,self-employed,132049,1,17,394013,38,22,9,4,427179,289976,32840
69,Michelle,Pierce,5763189082,urichardson@example.org,68,single,unemployed,43803,8,1,303414,87,22,1,0,58304,25027,136501
70,Jessica,Stanton,9970077289,sandersruth@example.org,54,divorced,self-employed,78223,9,13,259826,20,19,15,20,219886,114127,95820
71,Julie,Bowen,9516323821,amanda83@example.net,24,single,unemployed,191777,9,10,338126,98,10,11,0,253972,207170,92118
72,Jennifer,Brandt,1401918566,janetperez@example.com,49,married,self-employed,101775,7,24,337155,8,15,7,8,390363,325900,143458
73,Matthew,Gray,6450901168,phillip79@example.com,65,divorced,employed,149744,2,27,310532,44,27,14,18,163848,46175,111363
74,Nicholas,Mitchell,2739487317,ganderson@example.net,70,single,self-employed,137048,8,3,42756,83,22,12,17,97008,36743,154721
75,George,Coleman,2367320896,wbartlett@example.org,62,divorced,unemployed,143280,10,29,168856,39,16,6,19,427799,235254,187537
76,Shawn,Harvey,6782731168,thomas03@example.org,64,single,unemployed,138335,9,9,93941,40,25,1,17,342861,327118,41247
77,April,Romero,9227044167,jenniferjones@example.net,27,divorced,unemployed,44262,6,27,270101,50,45,6,14,218945,51454,105641
78,Emily,Robinson,2347957129,tara53@example.org,35,married,self-employed,105200,6,8,216836,25,36,14,6,150573,830,158444
79,Katie,Ramirez,1757201331,april64@example.org,42,married,employed,62255,10,3,414781,49,13,10,10,179736,63957,57353
80,Alyssa,Lopez,2279529794,jasonmercado@example.com,59,single,employed,39371,10,11,181931,71,16,13,3,380889,212621,174040
81,Frances,Banks,2883968987,andrew93@example.com,38,single,self-employed,83104,2,27,137210,89,7,6,11,255546,159486,136159
82,Joseph,Meyer,5990350931,haleyboyer@example.net,70,single,employed,195521,9,23,69973,60,33,15,4,176953,48093,119759
83,David,Allen,9526452350,nancythomas@example.org,57,single,unemployed,121389,7,13,108307,19,9,18,3,424712,239520,128043
84,James,Brady,9366860204,pharris@example.net,63,divorced,employed,90623,5,27,130792,36,36,12,13,198854,143451,28273
85,Matthew,Stark,3861879336,xking@example.com,55,divorced,employed,134208,4,26,200604,39,29,15,13,365089,56432,86812
86,Melissa,Lin,2515342916,amber96@example.org,43,single,self-employed,125151,7,26,363564,100,28,3,19,147113,147031,39232
87,Richard,Schmidt,1252199752,cisneroskevin@example.org,57,single,employed,88818,4,19,162740,92,34,3,1,89554,23978,163288
88,Cathy,Cain,7977505756,julianelson@example.org,26,divorced,self-employed,95020,8,3,231767,27,23,20,18,172632,20845,161361
89,Maureen,Roberts,2944519548,uray@example.org,48,married,self-employed,66747,4,17,320553,20,9,16,7,261533,171793,128666
90,Emily,Boyd,4329609873,christopher51@example.org,24,divorced,unemployed,24651,2,26,80223,38,18,14,20,402749,282627,14255
91,Joseph,Miller,1471052600,nathanjohnson@example.org,26,divorced,unemployed,162805,6,22,32313,38,31,8,14,255102,55160,21380
92,Raymond,Crosby,7701282196,rogersjordan@example.org,21,divorced,unemployed,160144,7,1,172161,35,35,14,8,467824,169252,160985
93,Lawrence,Hall,5249209027,jthompson@example.net,46,married,unemployed,108720,7,27,285930,31,2,3,3,264357,185389,148337
94,Jennifer,Woods,6533610889,christopher53@example.com,30,married,employed,165063,1,5,140492,50,20,0,14,191621,176485,43679
95,Clarence,Guerra,2543458916,aford@example.org,43,divorced,unemployed,80211,8,21,251671,10,33,13,6,256326,58104,1407
96,Kristina,Bennett,1640876545,jason06@example.net,38,divorced,unemployed,81644,5,23,494324,51,32,11,19,219978,2150,16311
97,Erin,Bullock,4561614974,simmonsandrea@example.net,49,single,self-employed,178387,7,9,152689,61,11,18,17,206730,175957,20089
98,Ryan,Phelps,4764717997,housejocelyn@example.net,68,single,self-employed,53298,5,6,2795,46,41,20,0,293274,183408,62745
99,Alexander,Johnson,6123479805,christina54@example.com,25,divorced,self-employed,38682,6,2,476926,88,31,20,11,194470,123131,11223
100,Shaun,Gibson,483404323,ejames@example.org,59,married,self-employed,48922,7,29,17794,77,24,2,10,487922,81646,63556
101,Vincent,Hernandez,9132252605,hholmes@example.net,36,single,self-employed,109849,2,11,190985,5,29,7,16,112779,4390,166555
102,Christopher,Moore,1158448160,marypitts@example.com,67,single,employed,27200,6,21,197549,89,1,4,7,378072,74107,12168
103,Kelly,Dorsey,3335583324,elizabeth36@example.org,24,single,unemployed,77710,9,20,451236,6,12,12,20,386240,104999,145794
104,Michael,Carrillo,2181088392,carrjames@example.net,27,married,unemployed,115634,5,6,323019,66,26,13,19,252163,236364,146230
105,Kelsey,Byrd,680570314,sking@example.org,38,single,employed,102181,6,11,287898,78,21,15,7,31632,3759,144902
106,Travis,Sharp,7300500160,juliafisher@example.net,39,married,self-employed,55661,4,21,395662,92,46,4,19,229633,36593,154968
107,Roger,Nichols,2849044622,cboyle@example.net,39,divorced,unemployed,106158,3,11,285857,45,1,13,9,334764,18320,106681
108,Justin,Wallace,1631487425,xmelendez@example.net,24,married,unemployed,166796,5,6,391381,39,42,20,17,281555,47125,140761
109,Dawn,Mejia,230883809,annejenkins@example.net,34,divorced,unemployed,155643,10,10,330001,96,50,3,5,367645,121290,10979
110,Valerie,Walker,4440890615,lindsay18@example.org,48,married,employed,170530,6,19,303132,50,41,17,6,374848,108256,59247
111,Sarah,Massey,3633268684,brandy28@example.com,61,divorced,employed,79029,10,21,446310,48,19,14,4,254532,249754,15655
112,Kelly,Roberts,1577439236,michaellara@example.com,70,married,self-employed,61895,10,24,423617,22,19,13,4,132414,5620,136612
113,Paul,Rodriguez,5472985923,pgreene@example.org,65,divorced,employed,68432,10,5,179119,49,36,6,6,381271,296585,80789
114,Dwayne,Hamilton,5575735270,vchapman@example.org,29,divorced,self-employed,36052,4,1,73696,82,34,3,8,118673,56581,116803
115,Nicole,Smith,9870337306,ahunt@example.org,53,divorced,unemployed,108572,5,22,191190,79,46,4,11,72237,62083,78776
116,Andrea,Torres,6340577917,currysteven@example.net,62,divorced,employed,133381,5,25,368857,74,29,10,5,329893,228696,183569
117,Nancy,Carr,6165519003,gross@example.com,41,married,employed,126370,9,18,359232,53,43,6,7,340596,272028,51464
118,Chad,Smith,4987839619,mckeevicki@example.com,63,single,self-employed,145135,2,9,15213,19,34,0,13,229041,162652,146653
119,Jenna,Martin,3515111902,rparsons@example.net,32,divorced,unemployed,196727,6,15,338225,78,1,12,15,399212,229155,68120
120,Bryan,Stevens,9746280506,campbellstephanie@example.org,20,married,employed,136707,6,9,223891,55,12,13,11,254145,130708,181055
121,Norma,Wu,6646217176,michael51@example.org,24,single,employed,120979,4,27,130763,14,0,1,4,330820,93807,161300
122,Wendy,Mckinney,402191310,nmata@example.org,33,divorced,unemployed,171065,2,20,283850,3,12,11,9,258197,12237,981
123,Kenneth,Bender,5676896068,amanda46@example.org,50,married,unemployed,59324,10,9,152749,15,25,2,1,341717,150927,134322
124,Jessica,Norris,2921425812,dgomez@example.net,47,married,employed,47360,2,9,172366,67,15,17,2,173119,103583,138782
125,Alexis,Adams,6076153748,aaronsullivan@example.net,25,married,unemployed,38859,8,22,260321,17,32,0,3,319160,141190,152767
126,Penny,Mcneil,8196109961,parksrebecca@example.com,37,single,unemployed,59613,4,6,302379,91,1,12,14,145202,6465,145321
127,Kevin,Morales,6459939180,tammythomas@example.org,45,divorced,employed,69231,6,1,294480,91,27,12,10,274214,244208,80060
128,Glenda,Johnson,595017804,tatemichael@example.org,50,divorced,employed,91033,8,20,92578,49,7,6,20,164422,34006,128595
129,William,Murphy,7515594239,jonanderson@example.com,28,married,employed,66913,8,10,126395,90,18,9,4,217757,55458,132434
130,Keith,Johnson,9266300384,qwilson@example.net,27,single,self-employed,64936,3,26,385984,59,18,15,0,117105,110606,103793
131,Beverly,Carter,2341148091,gonzalesmicheal@example.org,53,divorced,employed,56706,5,21,38117,35,36,6,3,348611,281704,110845
132,Anita,Townsend,9145757073,gknapp@example.com,46,married,employed,36535,4,22,384673,27,16,2,17,345629,176066,150121
133,Donald,Jimenez,9078567525,tmiller@example.com,69,single,unemployed,199439,9,27,329126,55,50,19,18,316188,88011,13212
134,Melissa,Guerrero,9462573874,kevin00@example.net,24,married,employed,67900,8,10,298918,81,3,18,3,369661,327833,82106
135,Michael,Williams,8024239507,xyoung@example.com,38,single,unemployed,96050,10,28,307426,12,3,1,7,120459,29563,137004
136,Cheryl,Baldwin,1565418143,troybest@example.net,60,married,self-employed,100216,7,25,253918,76,14,0,10,460888,38321,135636
137,Laurie,Knight,6494353968,ewebster@example.org,32,single,unemployed,150685,10,16,369726,9,43,2,12,200254,6709,59110
138,Gary,Gibbs,758740000,brian34@example.com,52,married,unemployed,173247,6,2,234193,9,28,16,18,170254,37330,180490
139,Allison,Downs,4208447203,andrew02@example.com,38,married,self-employed,160621,9,21,107603,20,35,5,6,61794,25110,44635
140,Brian,Campbell,8477852877,jennifer07@example.net,24,divorced,self-employed,102665,8,27,163223,22,41,9,16,266655,89445,77468
141,Scott,Lewis,8613920258,amanda51@example.com,34,divorced,unemployed,38111,6,9,166006,100,19,16,1,65039,38859,187765
142,Patrick,Johnson,8476184579,elizabethtorres@example.org,62,married,employed,153858,7,19,49203,44,2,14,19,137861,24510,193754
143,Joseph,Tucker,793905824,jacksonaaron@example.net,66,single,self-employed,125792,8,22,16428,96,48,15,16,286325,215037,66402
144,Timothy,Potts,3045328311,brian89@example.com,53,married,unemployed,164763,10,26,83145,31,8,12,8,134152,23781,166249
145,Jeffrey,Carroll,2584623418,thorntonnathan@example.net,41,married,self-employed,170646,6,2,345755,75,25,2,7,160958,92735,194897
146,Nicholas,Williams,8431089782,brandy77@example.com,37,married,self-employed,153449,4,8,496304,78,4,16,19,139728,129912,126613
147,Ashley,Smith,9489004223,wyatt15@example.com,66,single,employed,45779,9,10,323476,61,3,14,17,138226,61539,196434
148,Theresa,Martin,7043957796,ntapia@example.org,25,single,self-employed,153696,8,2,461029,51,18,3,1,159204,81112,168643
149,Hannah,Russo,6272167130,lgarcia@example.net,35,single,unemployed,50598,6,24,246211,45,24,18,8,343767,120599,45803
150,Melissa,Thompson,2156035094,fullerolivia@example.net,55,divorced,employed,174844,3,6,155970,44,37,13,9,416696,40253,278
151,Brian,Montes,4443011400,washley@example.com,38,divorced,unemployed,173985,3,9,367836,69,18,18,18,471692,362658,102023
152,Jennifer,Patton,666071155,flemingphyllis@example.com,44,married,unemployed,120143,2,30,120031,92,37,17,18,424071,375980,170396
153,Leslie,Clark,7999259007,chris68@example.net,25,divorced,unemployed,170251,7,22,239188,39,21,5,18,185580,61395,121380
154,Lisa,Silva,7721447615,crystalpennington@example.org,24,single,employed,111611,1,18,275384,99,14,4,2,153639,78124,137305
155,Ashlee,Smith,4287698702,ymoore@example.org,38,single,self-employed,88702,8,25,58089,31,10,12,1,344603,257362,36103
156,Alicia,Cook,5429578936,manningcheryl@example.com,43,single,employed,119611,2,21,299790,8,27,8,8,495383,397273,102329
157,Michaela,Robinson,3882059158,gharrison@example.net,40,divorced,self-employed,89976,6,4,68258,37,2,1,15,221402,65298,23387
158,Shannon,Reyes,4311159885,ericapetersen@example.net,59,single,unemployed,158272,2,2,287250,57,49,12,14,279017,168000,186301
159,Michael,Buchanan,5224787135,evansglen@example.com,40,single,employed,40334,8,4,403404,57,36,17,11,77710,10271,100297
160,Kimberly,Jones,5446926105,ofreeman@example.com,36,married,self-employed,131458,4,19,352469,9,25,2,13,3958,2249,58348
161,Kathryn,Turner,2306335443,zfrench@example.com,48,divorced,employed,101406,4,14,448291,25,8,13,19,249757,46762,89075
162,Eric,Moore,360414265,chambersshane@example.org,37,single,employed,85815,8,1,40279,47,31,2,5,57249,48536,79870
163,Natalie,Tanner,9429883149,sanfordjames@example.net,69,divorced,self-employed,159183,1,30,175519,68,1,0,10,477895,226117,142517
164,Michael,Quinn,7417881204,angela94@example.net,53,single,employed,152448,2,23,264649,98,28,6,15,387253,126102,130414
165,Jennifer,Blevins,9982543681,smithronald@example.net,27,single,unemployed,85640,4,4,134305,18,36,11,16,353203,54372,25854
166,Jesus,Barrera,6851557612,courtney80@example.net,62,divorced,self-employed,24061,4,5,282100,52,41,6,10,83613,79014,60454
167,Jessica,Fisher,4666370684,tsimon@example.com,62,married,employed,156315,3,3,253210,0,1,12,8,433217,252138,111557
168,Amber,Grimes,3821835347,tiffany25@example.org,33,divorced,self-employed,40525,7,14,58207,16,50,20,6,37687,13836,82981
169,Joshua,Smith,4186398410,emilyraymond@example.net,22,single,unemployed,96655,2,8,55130,3,6,7,14,217472,192923,83850
170,Susan,Robinson,3257278250,johnjames@example.com,58,married,unemployed,156821,1,3,328421,18,4,4,11,468346,212721,57810
171,David,Holmes,8013838486,nhoover@example.net,42,married,employed,158449,2,24,210822,72,34,20,6,152038,54804,184690
172,Angela,Steele,5159210922,sarahvelazquez@example.org,46,single,employed,188700,9,23,238713,75,13,11,16,496168,44165,3842
173,David,Mendoza,9687778047,gina51@example.org,59,married,employed,41965,6,26,369325,65,0,2,19,353497,199867,103387
174,Jared,Walker,3641288254,ericaayala@example.com,32,divorced,unemployed,51969,2,3,299512,19,48,13,5,162725,106136,81692
175,John,Schneider,5637779936,davistiffany@example.net,27,divorced,unemployed,56350,7,30,11756,59,42,8,12,259083,205225,22212
176,Nina,Hayden,7767396792,sheiladawson@example.org,64,married,self-employed,161758,8,10,167248,88,38,8,14,164526,73029,50663
177,Derek,Price,9579889592,joshua67@example.org,63,married,employed,187743,5,15,261478,65,43,17,7,152781,32257,96521
178,Adam,Moreno,6798476908,morgan79@example.org,25,divorced,unemployed,120128,10,12,28919,57,49,8,6,282051,160768,123135
179,Amber,Clay,6326325223,jennifersmith@example.org,67,single,employed,59059,7,16,323609,11,34,7,4,497990,8871,95042
180,Chris,Simpson,8070863728,harrisgregory@example.org,31,single,self-employed,125231,3,22,87873,100,43,4,17,451169,116274,191646
181,Amber,Obrien,5899225514,welchrebecca@example.com,38,married,self-employed,35955,8,6,117836,28,1,9,10,498039,370709,120577
182,Andrew,Singleton,5833359134,corylynch@example.org,20,single,employed,30283,10,21,206794,71,49,20,14,267388,50078,165826
183,Jeffrey,Bishop,5039901923,hillpamela@example.net,42,married,unemployed,142548,4,13,469195,99,9,10,1,462887,189277,104916
184,Scott,Jackson,7571623438,michael47@example.com,66,single,employed,33848,7,26,184111,50,33,13,14,419255,279683,177082
185,Alexandra,Reid,8616091426,ngreen@example.com,20,divorced,unemployed,173574,4,18,52401,73,5,0,0,201992,159185,145694
186,Bryan,Lopez,4579057486,ortizrebecca@example.org,41,divorced,self-employed,30223,3,16,150608,98,12,5,12,370175,201794,75866
187,Lauren,Mcgee,3147339534,jasonrivera@example.org,20,divorced,employed,81408,6,11,108979,73,5,11,18,222221,194626,25334
188,Ashley,Gibson,8122157448,robin16@example.net,48,divorced,self-employed,83809,10,13,298831,93,45,4,10,326061,59332,127368
189,Susan,Peterson,6976023068,freyes@example.net,64,married,employed,32378,6,28,489391,13,49,9,13,485792,389843,107881
190,Amanda,Wheeler,444271084,rochajennifer@example.com,67,single,unemployed,173424,8,16,209638,4,22,13,12,104944,88777,2910
191,Alexander,Love,1177256488,natalie51@example.net,70,divorced,employed,80070,5,19,430257,53,4,13,19,230147,32899,130147
192,Lauren,Weiss,986510244,karen44@example.net,52,divorced,self-employed,31943,7,17,62891,73,8,15,12,451642,415000,67203
193,Anthony,Hicks,4120807602,lisagreen@example.com,33,married,unemployed,114321,8,1,481631,26,43,13,11,338131,184749,67981
194,Christopher,Newton,5599281118,miguel54@example.org,37,single,self-employed,164034,9,29,230377,87,22,17,13,175463,14276,65045
195,Scott,Long,5597935796,joshua06@example.com,30,divorced,self-employed,46357,4,23,364897,48,48,6,18,345610,282999,115256
196,James,Perry,4244004629,patricia26@example.org,19,single,employed,100163,5,11,413543,31,14,20,11,160769,43132,121234
197,Robert,Arellano,5044639394,lindsey28@example.org,62,married,unemployed,187123,10,7,301985,22,29,2,7,468312,416323,63950
198,Joseph,Woodard,4674230602,carolynbarker@example.org,51,married,unemployed,98398,6,7,240966,79,32,4,16,14180,8147,91089
199,Connie,Hooper,4461105187,karen25@example.org,61,single,unemployed,180288,7,8,353192,61,26,9,18,268386,245294,22221
200,Robert,Young,8412808032,wquinn@example.org,50,single,employed,100841,7,28,125655,7,23,18,14,81215,19086,99908
201,Mark,Gross,3373782089,daniel19@example.com,57,married,unemployed,29466,1,3,348098,16,43,14,17,444517,66008,67242
202,Jaclyn,Mcgrath,5115993014,kimberlymartinez@example.com,66,single,unemployed,57246,2,25,464089,98,37,4,12,320482,26882,76530
203,Melissa,Anderson,6613920429,lorimoore@example.net,40,single,unemployed,126895,3,11,33973,39,24,13,12,59528,9587,61056
204,Maria,George,4027522981,stephanie97@example.org,60,single,unemployed,117531,8,20,189722,30,25,12,4,324907,173965,180810
205,Carol,Allen,2293832468,wrightchristina@example.com,67,single,unemployed,174331,3,9,320388,94,18,7,13,208165,49998,163052
206,Paul,Taylor,3830576326,yalvarez@example.com,25,single,unemployed,25219,8,0,415135,38,13,13,14,236926,53041,32728
207,Shirley,Sullivan,2718479337,denisemoreno@example.org,64,single,unemployed,176859,9,30,489573,29,44,17,16,490507,93721,46425
208,Bryce,Williams,8963266753,katie15@example.net,42,divorced,self-employed,28756,4,13,443799,75,17,5,13,137366,125567,79886
209,Gregg,Hull,7571547767,stephenknight@example.net,57,divorced,self-employed,146512,4,18,402758,56,43,15,15,172209,33623,123183
210,Erica,Moore,2369162778,brownheather@example.org,59,single,self-employed,129955,1,13,481102,80,37,2,2,315977,12867,132983
211,Tracey,Avila,7357712739,billyjohnson@example.net,58,single,self-employed,36927,2,29,197829,40,9,6,9,323380,273243,117585
212,Christine,Hughes,900192253,sjohnson@example.org,49,single,unemployed,183811,6,5,490714,57,41,0,13,160572,13472,46855
213,Joanna,Smith,2016699895,joneseric@example.org,25,single,unemployed,40187,2,29,410344,15,39,4,18,347180,97542,177303
214,Hannah,Reed,3437846074,nrobles@example.com,23,single,employed,52301,5,5,418720,61,43,4,1,253159,100342,3187
215,Maria,Freeman,4258410718,thompsonaustin@example.org,45,married,employed,110690,4,20,132359,4,11,4,2,405459,241500,174617
216,Karen,Rich,2406464022,ronaldmendoza@example.com,31,single,employed,172301,4,7,483892,26,32,13,17,137807,132715,31599
217,Nathaniel,Davis,6585163440,owenalyssa@example.net,31,married,unemployed,103439,9,22,91115,18,2,12,20,221584,48825,65743
218,Amy,Lee,2945364960,cmclean@example.com,66,single,employed,185657,8,17,220923,46,18,2,13,231062,226206,53823
219,Alejandro,Crawford,8818804824,amber20@example.com,54,married,employed,36616,1,7,67039,68,16,11,8,328549,85654,108410
220,Heather,Hunter,1996901770,obrady@example.com,51,divorced,self-employed,51015,1,16,392634,2,31,13,15,285955,273468,120975
221,Stephanie,Miller,4760052871,cynthia21@example.net,40,divorced,employed,192704,5,22,338407,20,44,11,18,170251,112119,148696
